State,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seat Availability
Andhrapradesh,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,APSRTC - 5944,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:25,05h 33m,03:58,3.9,467,1 Seat available
Andhrapradesh,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,APSRTC - 4588,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:45,05h 04m,03:49,4.2,467,19 Seats available
Andhrapradesh,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,APSRTC - 5969,INDRA(A.C. Seater),22:50,03h 54m,02:44,3.5,565,37 Seats available
Andhrapradesh,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,APSRTC - 5938,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:05,05h 37m,04:42,4.4,467,33 Seats available
Andhrapradesh,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,APSRTC - 5987,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:30,05h 30m,05:00,4.3,467,27 Seats available
Andhrapradesh,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,V Kaveri Travels,A/C Sleeper (2+1),22:30,06h 45m,05:15,4.4,800,15 Seats available
Andhrapradesh,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Raja Buses,NON AC Seater / Sleeper 2+1,23:00,06h 30m,05:30,4.3,560,24 Seats available
Andhrapradesh,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Kaveri Travels,A/C Sleeper (2+1),22:55,06h 05m,05:00,3.9,800,16 Seats available
Andhrapradesh,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),22:45,06h 45m,05:30,4.3,500,27 Seats available
Andhrapradesh,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,JOSH BUS,Non A/C Seater / Sleeper (2+1),23:15,06h 45m,06:00,4.4,560,17 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5870,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:30,08h 30m,03:00,4.0,462,21 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5859,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,08h 00m,03:00,4.0,495,34 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5994,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:30,09h 00m,04:30,3.1,495,22 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5922,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:45,08h 30m,04:15,4.3,495,24 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5906,INDRA(A.C. Seater),20:00,07h 50m,03:50,3.4,598,29 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5926,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:15,08h 30m,04:45,4.6,495,31 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5020,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30,06h 20m,02:50,4.0,762,41 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5876,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30,07h 45m,04:15,4.2,495,32 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5914,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:40,08h 10m,04:50,4.0,495,22 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5928,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:45,07h 00m,03:45,4.5,495,26 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 58231,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:50,07h 40m,04:30,4.1,495,18 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5902,STAR LINER(NON-AC SLEEPER 2+1),21:00,08h 00m,05:00,4.3,641,4 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 5863,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,07h 30m,04:30,4.3,495,26 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 48604,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),21:00,07h 31m,04:31,4.4,760,42 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,APSRTC - 45902,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:10,08h 20m,05:30,3.8,495,30 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),21:45,07h 45m,05:30,4.4,500,21 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,Kaveri Travels,NON AC Seater / Sleeper 2+1,21:00,08h 00m,05:00,4.4,600,30 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,Sri Vengamamba Bus Transport (SVBT),A/C Sleeper (2+1),21:40,07h 50m,05:30,4.5,700,13 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,KMBT Travels,NON A/C Hi-Tech Push Back (2+2),21:10,07h 50m,05:00,4.1,475,28 Seats available
Andhrapradesh,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,Vikram Travels,A/C Seater / Sleeper (2+1),21:55,06h 20m,04:15,4.9,499,25 Seats available
